no;nama;kbli;latitude;longitude;alamat;prov_nama;prov_id;kako_nama;kako_id;kategori_kbli;kategori_nama;golongan_kbli;golongan_nama
1;PR Agnes Dhamayanti;10130;1,1013872;104,0566862;vila hang lekir Blok DD7 No 11, Baloi Permai, Batam Kota, Kota Batam, Kepulauan Riau;KEPULAUAN RIAU;21;KOTA BATAM;2171;C;Industri Pengolahan;10;Industri Makanan
2;PR Abdul Azis Romadhon;10130;2,7536754;117,4615118;gunung sari, Gunung Sari, Tanjung Selor, Kabupaten Bulungan, Kalimantan Utara;KALIMANTAN UTARA;65;KABUPATEN BULUNGAN;6502;C;Industri Pengolahan;10;Industri Makanan
3;PR Andi Setiawan;10130;-3,6806288;128,1989062;jalan kebun cengkeh , samping pom bensin, Batu Merah, Sirimau, Kota Ambon, Maluku;MALUKU;81;KOTA AMBON;8171;C;Industri Pengolahan;10;Industri Makanan
4;PR Agustinah;10211;2,8262045;117,3592288;Jl. Kasimuddin, Tanjung Palas Tengah, Tanjung Palas, Kabupaten Bulungan, Kalimantan Utara;KALIMANTAN UTARA;65;KABUPATEN BULUNGAN;6502;C;Industri Pengolahan;10;Industri Makanan
5;PR Astuti S Jafar;10211;0,756545;127,4039314;Cobo Pante, Jiko Cobo, Tidore Timur, Kota Tidore Kepulauan, Maluku Utara;MALUKU UTARA;82;KOTA TIDORE KEPULAUAN;8272;C;Industri Pengolahan;10;Industri Makanan
6;PR Abdul Hakim Caniago;10212;1,2638546;97,2450477;AFULU, Afulu, Afulu, Kabupaten Nias Utara, Sumatera Utara;SUMATERA UTARA;12;KABUPATEN NIAS UTARA;1224;C;Industri Pengolahan;10;Industri Makanan
7;PR Asih Nordiyati;10212;-3,3751423;102,1148687;JL. A YANI DUSUN II, Padang Jaya, Padang Jaya, Kabupaten Bengkulu Utara, Bengkulu;BENGKULU;17;KABUPATEN BENGKULU UTARA;1703;C;Industri Pengolahan;10;Industri Makanan
8;PR Asri Widia Ningsih;10212;-3,2783847;102,2033025;JL MAKAM DUSUN 5, Padang Jaya, Padang Jaya, Kabupaten Bengkulu Utara, Bengkulu;BENGKULU;17;KABUPATEN BENGKULU UTARA;1703;C;Industri Pengolahan;10;Industri Makanan
9;PR Endang Sulastri;10212;0,742322;127,5827551;galala/, Galala, Oba Utara, Kota Tidore Kepulauan, Maluku Utara;MALUKU UTARA;82;KOTA TIDORE KEPULAUAN;8272;C;Industri Pengolahan;10;Industri Makanan
10;PR Fajria Abdullah;10212;0,6342207;127,4120969;GURABATI RT.006 RW.002, Gurabati, Tidore Selatan, Kota Tidore Kepulauan, Maluku Utara;MALUKU UTARA;82;KOTA TIDORE KEPULAUAN;8272;C;Industri Pengolahan;10;Industri Makanan
11;PR Aliance Stanly Ronsumbre;10212;-1,0540481;135,8992156;Kampung Kababur Biak, Kababur, Biak Kota, Kabupaten Biak Numfor, Papua;PAPUA;94;KABUPATEN BIAK NUMFOR;9409;C;Industri Pengolahan;10;Industri Makanan
12;PR BELLA DONNA INSORAKI JENSENEM;10212;-2,5301828;140,7121534;JL. BHAYANGKARA, Bayangkara, Jayapura Utara, Kota Jayapura, Papua;PAPUA;94;KOTA JAYAPURA;9471;C;Industri Pengolahan;10;Industri Makanan
13;PR Frida Ratu;10212;-2,5557538;140,705079;JL. ARDIPURA III, Desa/Kelurahan Ardipura, Ardipura, Jayapura Selatan, Kota Jayapura, Papua;PAPUA;94;KOTA JAYAPURA;9471;C;Industri Pengolahan;10;Industri Makanan
14;PT Anping Seafood Indonesia;10213;1,4323077;125,1250267;Jln Efraim Elengkong Manembo Nembo Bawah, Manembo-nembo, Matuari, Kota Bitung, Sulawesi Utara;SULAWESI UTARA;71;KOTA BITUNG;7172;C;Industri Pengolahan;10;Industri Makanan
15;PT Citraraja Ampat Canning;10213;-0,8788852;131,2623271;JL A YANI KLADEMAK I, Klaligi, Sorong Manoi, Kota Sorong, Papua Barat Daya;PAPUA BARAT DAYA;92;KOTA SORONG;9271;C;Industri Pengolahan;10;Industri Makanan
16;PT Pt.dwi Bina Utama;10213;-0,8773697;131,2581073;JL.Bubara, Ds,Klaligi, Kec.Manoi, Sorong Kota - papua barat, Klaligi, Sorong Manoi, Kota Sorong, Papua Barat Daya;PAPUA BARAT DAYA;92;KOTA SORONG;9271;C;Industri Pengolahan;10;Industri Makanan
17;PR Ade Lukman;10216;-1,6625267;103,5494757;Jln. Penerangan Perumahan Blerent Vila II Block C no. 14, Bagan Pete, Alam Barajo, Kota Jambi, Jambi;JAMBI;15;KOTA JAMBI;1571;C;Industri Pengolahan;10;Industri Makanan
18;PR Ahmad Ramadhanus;10216;-1,6338603;103,6286363;JL.PRATU ANWIR KOMPLEK ARTA ULI UTAMA RT.36, Thehok, Jambi Selatan, Kota Jambi, Jambi;JAMBI;15;KOTA JAMBI;1571;C;Industri Pengolahan;10;Industri Makanan
19;PR Agustina;10216;-2,9124111;104,7192077;Jalan kebun bunga komplek pondok bunga blok c no.2117, Kebun Bunga, Sukarami, Kota Palembang, Sumatera Selatan;SUMATERA SELATAN;16;KOTA PALEMBANG;1671;C;Industri Pengolahan;10;Industri Makanan
20;PR Anita Apriliana;10216;-2,9648619;104,7265923;Komplek Way Hitam Jl. Musi 3Blok D No. 99 RT..04 RW. 07 Kel. Siring Agung Kec. Ilir Barat 1 Palembang, Siring Agung, Ilir Barat I, Kota Palembang, Sumatera Selatan;SUMATERA SELATAN;16;KOTA PALEMBANG;1671;C;Industri Pengolahan;10;Industri Makanan
21;PR Anton Rawong;10216;-3,0706994;104,7319604;Jalan Lintas Timur Palembang - Prabumulih, Karya Jaya, Kertapati, Kota Palembang, Sumatera Selatan;SUMATERA SELATAN;16;KOTA PALEMBANG;1671;C;Industri Pengolahan;10;Industri Makanan
22;PR Asmi;10216;-2,9586955;104,7511759;Jl. Tombak RT.07 RW.02 No.608,  Ilir D II, Kemuning, Kota Palembang, Sumatera Selatan;SUMATERA SELATAN;16;KOTA PALEMBANG;1671;C;Industri Pengolahan;10;Industri Makanan
23;CV Alben;10216;-5,5770604;105,516665;SIDOREJO, Sidorejo, Sidomulyo, Kabupaten Lampung Selatan, Lampung;LAMPUNG;18;KABUPATEN LAMPUNG SELATAN;1803;C;Industri Pengolahan;10;Industri Makanan
24;PR Amrina Wati;10216;-4,4809533;105,2376533;Jl. Aspol No.187 Lk. Ugi Kel. Ujung Gunung Kec. Menggala, Ujung Gunung Ilir, Menggala, Kabupaten Tulangbawang, Lampung;LAMPUNG;18;KABUPATEN TULANGBAWANG;1808;C;Industri Pengolahan;10;Industri Makanan
25;PR Ak Lis;10216;3,554681;98,6868781;Dusun II Kp. Baru, Belo Laut, Muntok, Kabupaten Bangka Barat, Kepulauan Bangka Belitung;BANGKA BELITUNG;19;KABUPATEN BANGKA BARAT;1903;C;Industri Pengolahan;10;Industri Makanan
26;PR Ak Nori;10216;-2,0555261;105,1932323;Dusun pait Jaya Dusun Belo Laut, Belo Laut, Muntok, Kabupaten Bangka Barat, Kepulauan Bangka Belitung;BANGKA BELITUNG;19;KABUPATEN BANGKA BARAT;1903;C;Industri Pengolahan;10;Industri Makanan
27;PR Abdul Mahrun;10216;-8,4545242;118,7336482;"""Jamur Tiram Gemini"" RT. 08 RW. 03, Pane, Rasanae Barat, Kota Bima, Nusa Tenggara Barat";NUSA TENGGARA BARAT;52;KOTA BIMA;5272;C;Industri Pengolahan;10;Industri Makanan
28;PR Agus Antony;10216;-2,5596204;112,9627272;"Jl DI Panjaitan Selatan No.7 RT 51/005, Ketapang, Mentawa Baru
Ketapang, Kabupaten Kotawaringin Timur, Kalimantan Tengah";KALIMANTAN TENGAH;62;KABUPATEN KOTAWARINGIN TIMUR;6202;C;Industri Pengolahan;10;Industri Makanan
